"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","18,100.0","17,900.0","18,200.0","17,650.0","136.20K","5.23%"
"05/05/2025","17,200.0","16,600.0","17,500.0","16,600.0","172.30K","3.30%"
"29/04/2025","16,650.0","16,400.0","16,900.0","16,400.0","16.00K","-0.30%"
"28/04/2025","16,700.0","16,500.0","17,000.0","16,400.0","35.30K","1.83%"
"25/04/2025","16,400.0","16,000.0","16,500.0","15,800.0","86.30K","2.50%"
"24/04/2025","16,000.0","15,750.0","16,300.0","15,600.0","35.50K","1.59%"
"23/04/2025","15,750.0","15,550.0","15,850.0","15,550.0","23.70K","0.32%"
"22/04/2025","15,700.0","15,400.0","15,800.0","15,000.0","179.00K","-2.48%"
"21/04/2025","16,100.0","16,150.0","16,500.0","15,550.0","34.50K","-0.31%"
"18/04/2025","16,150.0","15,900.0","16,250.0","15,900.0","41.80K","1.25%"
"17/04/2025","15,950.0","15,050.0","16,000.0","15,000.0","33.50K","0.00%"
"16/04/2025","15,950.0","16,400.0","16,450.0","15,400.0","37.20K","-3.04%"
"15/04/2025","16,450.0","16,000.0","16,850.0","15,850.0","251.10K","-3.24%"
"14/04/2025","17,000.0","17,450.0","17,450.0","15,750.0","106.90K","0.59%"
"11/04/2025","16,900.0","17,500.0","17,500.0","15,950.0","82.60K","-1.46%"
"10/04/2025","17,150.0","17,100.0","17,150.0","17,000.0","460.20K","6.85%"
"09/04/2025","16,050.0","16,050.0","17,250.0","16,050.0","125.40K","-6.96%"
"08/04/2025","17,250.0","17,250.0","17,250.0","17,250.0","18.70K","-6.76%"
"04/04/2025","18,500.0","17,200.0","18,800.0","17,200.0","391.70K","0.27%"
"03/04/2025","18,450.0","18,450.0","19,400.0","18,450.0","137.00K","-6.82%"
"02/04/2025","19,800.0","19,300.0","19,950.0","19,300.0","20.20K","-0.75%"
"01/04/2025","19,950.0","20,000.0","20,050.0","19,300.0","27.60K","-0.25%"
"31/03/2025","20,000.0","19,500.0","20,000.0","19,450.0","117.30K","2.83%"
"28/03/2025","19,450.0","19,700.0","19,900.0","19,200.0","45.70K","-2.51%"
"27/03/2025","19,950.0","20,000.0","20,000.0","19,950.0","2.30K","0.00%"
"26/03/2025","19,950.0","19,800.0","20,450.0","19,600.0","12.60K","0.76%"
"25/03/2025","19,800.0","19,600.0","19,800.0","19,600.0","57.30K","0.76%"
"24/03/2025","19,650.0","19,950.0","20,050.0","19,500.0","70.30K","-1.75%"
"21/03/2025","20,000.0","19,500.0","20,000.0","19,500.0","5.00K","1.01%"
"20/03/2025","19,800.0","19,050.0","19,950.0","19,050.0","38.80K","-1.00%"
"19/03/2025","20,000.0","19,850.0","20,000.0","19,700.0","7.30K","0.76%"
"18/03/2025","19,850.0","19,150.0","20,200.0","19,150.0","45.50K","4.47%"
"17/03/2025","19,000.0","19,000.0","19,100.0","18,750.0","62.40K","0.26%"
"14/03/2025","18,950.0","19,000.0","19,100.0","18,500.0","40.90K","-1.04%"
"13/03/2025","19,150.0","19,500.0","19,800.0","19,000.0","93.30K","-1.79%"
"12/03/2025","19,500.0","19,600.0","19,800.0","19,500.0","39.70K","0.00%"
"11/03/2025","19,500.0","19,600.0","19,700.0","19,400.0","91.70K","-1.02%"
"10/03/2025","19,700.0","19,950.0","20,050.0","19,450.0","118.30K","-1.75%"
"07/03/2025","20,050.0","20,100.0","20,250.0","19,800.0","58.40K","-0.25%"
"06/03/2025","20,100.0","20,050.0","20,200.0","19,800.0","29.30K","0.00%"
"05/03/2025","20,100.0","20,250.0","20,250.0","19,700.0","53.20K","-0.50%"
"04/03/2025","20,200.0","20,200.0","20,200.0","19,600.0","38.40K","-0.25%"
"03/03/2025","20,250.0","20,100.0","20,350.0","19,600.0","55.00K","-0.25%"
"28/02/2025","20,300.0","20,700.0","20,700.0","19,500.0","155.60K","-1.22%"
"27/02/2025","20,550.0","20,100.0","20,550.0","19,950.0","73.30K","2.75%"
"26/02/2025","20,000.0","20,400.0","20,400.0","19,900.0","31.00K","0.00%"
"25/02/2025","20,000.0","20,000.0","20,400.0","19,850.0","49.00K","0.50%"
"24/02/2025","19,900.0","20,500.0","20,500.0","19,900.0","37.40K","-3.16%"
"21/02/2025","20,550.0","20,650.0","20,700.0","19,900.0","100.70K","-0.72%"
"20/02/2025","20,700.0","21,300.0","21,300.0","20,400.0","98.60K","-3.04%"
"19/02/2025","21,350.0","21,450.0","21,450.0","20,450.0","41.30K","1.43%"
"18/02/2025","21,050.0","20,950.0","22,150.0","20,900.0","54.20K","0.24%"
"17/02/2025","21,000.0","21,000.0","21,000.0","20,700.0","81.90K","0.48%"
"14/02/2025","20,900.0","21,000.0","21,000.0","20,500.0","59.70K","0.00%"
"13/02/2025","20,900.0","20,200.0","20,900.0","20,150.0","61.60K","2.45%"
"12/02/2025","20,400.0","20,750.0","22,100.0","20,400.0","81.40K","-1.45%"
"11/02/2025","20,700.0","20,800.0","20,800.0","20,150.0","56.30K","-0.24%"
"10/02/2025","20,750.0","20,100.0","20,800.0","20,100.0","30.30K","0.00%"
"07/02/2025","20,750.0","20,100.0","21,600.0","20,100.0","50.70K","0.00%"
"06/02/2025","20,750.0","20,050.0","20,850.0","20,050.0","271.90K","3.49%"
"05/02/2025","20,050.0","19,500.0","20,500.0","19,500.0","66.00K","-1.72%"
"04/02/2025","20,400.0","21,000.0","21,000.0","20,250.0","86.50K","-0.24%"
"03/02/2025","20,450.0","20,000.0","21,200.0","20,000.0","218.80K","3.02%"
"24/01/2025","19,850.0","20,000.0","20,000.0","19,550.0","96.20K","-0.25%"
"23/01/2025","19,900.0","19,950.0","20,000.0","19,550.0","54.60K","0.00%"
"22/01/2025","19,900.0","19,700.0","20,000.0","19,550.0","85.00K","0.51%"
"21/01/2025","19,800.0","19,950.0","19,950.0","19,450.0","110.20K","0.25%"
"20/01/2025","19,750.0","19,100.0","20,100.0","19,100.0","175.50K","1.28%"
"17/01/2025","19,500.0","18,300.0","19,800.0","18,300.0","189.80K","2.36%"
"16/01/2025","19,050.0","18,700.0","19,200.0","18,700.0","80.70K","-0.26%"
"15/01/2025","19,100.0","18,900.0","19,100.0","18,650.0","77.90K","1.06%"
"14/01/2025","18,900.0","18,200.0","19,300.0","18,200.0","270.60K","4.71%"
"13/01/2025","18,050.0","18,000.0","18,200.0","17,650.0","103.90K","0.28%"
"10/01/2025","18,000.0","17,950.0","18,200.0","17,600.0","50.60K","0.28%"
"09/01/2025","17,950.0","17,700.0","18,300.0","17,500.0","133.00K","3.16%"
"08/01/2025","17,400.0","17,450.0","17,500.0","17,000.0","36.70K","0.87%"
"07/01/2025","17,250.0","16,800.0","17,650.0","16,800.0","91.20K","2.07%"
"06/01/2025","16,900.0","17,000.0","17,000.0","16,700.0","63.00K","0.00%"
"03/01/2025","16,900.0","16,350.0","17,200.0","16,300.0","82.70K","-1.74%"
"02/01/2025","17,200.0","17,250.0","17,700.0","16,050.0","113.10K","-0.29%"
"31/12/2024","17,250.0","18,500.0","18,500.0","17,250.0","249.40K","-6.76%"
"30/12/2024","18,500.0","17,000.0","18,500.0","17,000.0","274.20K","6.94%"
"27/12/2024","17,300.0","17,200.0","17,400.0","16,900.0","60.30K","1.76%"
"26/12/2024","17,000.0","16,300.0","17,300.0","16,300.0","92.10K","2.10%"
"25/12/2024","16,650.0","16,400.0","16,800.0","16,400.0","90.50K","0.00%"
"24/12/2024","16,650.0","16,350.0","16,750.0","16,350.0","43.30K","0.00%"
"23/12/2024","16,650.0","16,200.0","16,950.0","16,200.0","78.30K","-0.60%"
"20/12/2024","16,750.0","17,200.0","17,200.0","15,800.0","141.40K","-1.18%"
"19/12/2024","16,950.0","17,500.0","17,500.0","16,200.0","114.50K","0.89%"
"18/12/2024","16,800.0","16,500.0","17,200.0","16,500.0","253.80K","3.70%"
"17/12/2024","16,200.0","15,300.0","16,200.0","14,600.0","263.20K","6.93%"
"16/12/2024","15,150.0","14,500.0","15,150.0","14,450.0","48.70K","3.06%"
"13/12/2024","14,700.0","14,600.0","14,800.0","14,550.0","33.00K","0.68%"
"12/12/2024","14,600.0","14,700.0","14,850.0","14,550.0","85.80K","-1.35%"
"11/12/2024","14,800.0","14,800.0","14,900.0","14,700.0","43.70K","0.00%"
"10/12/2024","14,800.0","14,700.0","14,800.0","14,700.0","29.10K","0.00%"
"09/12/2024","14,800.0","14,800.0","14,850.0","14,600.0","80.80K","0.00%"
"06/12/2024","14,800.0","14,800.0","14,800.0","14,700.0","11.70K","0.00%"
"05/12/2024","14,800.0","14,800.0","14,900.0","13,950.0","100.60K","0.00%"
"04/12/2024","14,800.0","14,750.0","14,850.0","14,750.0","81.20K","-1.00%"
"03/12/2024","14,950.0","15,050.0","15,050.0","14,650.0","80.30K","-0.66%"
"02/12/2024","15,050.0","15,100.0","15,100.0","14,700.0","4.30K","-0.33%"
"29/11/2024","15,100.0","15,300.0","15,600.0","15,000.0","139.00K","0.33%"
"28/11/2024","15,050.0","14,850.0","15,050.0","14,600.0","41.00K","1.35%"
"27/11/2024","14,850.0","15,000.0","15,000.0","14,800.0","46.10K","0.34%"
"26/11/2024","14,800.0","14,800.0","14,850.0","14,800.0","16.10K","0.68%"
"25/11/2024","14,700.0","14,650.0","14,800.0","14,200.0","17.00K","0.34%"
"22/11/2024","14,650.0","14,700.0","14,700.0","14,200.0","14.60K","0.00%"
"21/11/2024","14,650.0","14,800.0","14,800.0","14,500.0","27.80K","1.03%"
"20/11/2024","14,500.0","14,250.0","14,850.0","14,000.0","17.60K","0.69%"
"19/11/2024","14,400.0","14,800.0","14,800.0","14,400.0","52.60K","-1.37%"
"18/11/2024","14,600.0","15,100.0","15,100.0","14,500.0","48.20K","-3.31%"
"15/11/2024","15,100.0","15,100.0","15,300.0","14,500.0","37.20K","0.00%"
"14/11/2024","15,100.0","15,500.0","15,500.0","15,000.0","41.00K","-3.21%"
"13/11/2024","15,600.0","15,800.0","15,800.0","15,100.0","52.20K","-0.95%"
"12/11/2024","15,750.0","15,900.0","15,950.0","15,500.0","80.90K","1.61%"
"11/11/2024","15,500.0","14,700.0","15,900.0","14,700.0","244.60K","4.03%"
"08/11/2024","14,900.0","15,000.0","15,000.0","14,550.0","30.70K","-0.33%"
"07/11/2024","14,950.0","15,100.0","15,150.0","14,800.0","30.30K","-0.99%"
"06/11/2024","15,100.0","14,300.0","15,150.0","14,300.0","46.40K","0.00%"
"05/11/2024","15,100.0","15,200.0","15,200.0","14,800.0","12.40K","-1.31%"
"04/11/2024","15,300.0","15,350.0","15,450.0","15,250.0","26.30K","-0.65%"
"01/11/2024","15,400.0","14,700.0","15,400.0","14,650.0","64.00K","1.99%"
"31/10/2024","15,100.0","15,200.0","15,200.0","14,600.0","7.50K","1.68%"
"30/10/2024","14,850.0","15,100.0","15,300.0","14,850.0","17.10K","-2.94%"
"29/10/2024","15,300.0","14,550.0","15,600.0","14,550.0","15.00K","2.00%"
"28/10/2024","15,000.0","15,200.0","15,200.0","14,500.0","8.10K","-0.66%"
"25/10/2024","15,100.0","14,800.0","15,200.0","14,800.0","0.70K","-0.66%"
"24/10/2024","15,200.0","15,100.0","15,300.0","14,700.0","29.60K","1.33%"
"23/10/2024","15,000.0","14,950.0","15,000.0","14,950.0","26.50K","-0.66%"
"22/10/2024","15,100.0","15,000.0","15,150.0","14,250.0","28.00K","-0.33%"
"21/10/2024","15,150.0","15,000.0","15,400.0","15,000.0","47.30K","-0.98%"
"18/10/2024","15,300.0","15,000.0","15,500.0","15,000.0","40.10K","-0.65%"
"17/10/2024","15,400.0","15,400.0","15,400.0","15,000.0","45.10K","2.67%"
"16/10/2024","15,000.0","14,500.0","15,500.0","14,500.0","108.40K","-2.60%"
"15/10/2024","15,400.0","15,400.0","15,450.0","15,000.0","44.90K","0.00%"
"14/10/2024","15,400.0","15,200.0","15,500.0","15,000.0","43.60K","-0.32%"
"11/10/2024","15,450.0","15,700.0","15,700.0","15,300.0","9.90K","-0.32%"
"10/10/2024","15,500.0","15,500.0","15,500.0","15,200.0","33.20K","0.00%"
"09/10/2024","15,500.0","15,450.0","15,900.0","15,400.0","45.10K","0.32%"
"08/10/2024","15,450.0","15,150.0","15,450.0","15,150.0","45.60K","0.00%"
"07/10/2024","15,450.0","15,450.0","15,500.0","15,000.0","107.30K","0.00%"
"04/10/2024","15,450.0","15,000.0","15,450.0","15,000.0","25.70K","0.98%"
"03/10/2024","15,300.0","14,950.0","15,350.0","14,950.0","168.70K","2.00%"
"02/10/2024","15,000.0","15,000.0","15,500.0","14,950.0","39.10K","0.00%"
"01/10/2024","15,000.0","14,700.0","15,000.0","14,500.0","181.60K","1.69%"
"30/09/2024","14,750.0","14,600.0","14,750.0","14,600.0","64.30K","1.03%"
"27/09/2024","14,600.0","14,550.0","14,700.0","14,500.0","56.60K","0.69%"
"26/09/2024","14,500.0","14,500.0","14,500.0","14,200.0","180.40K","0.69%"
"25/09/2024","14,400.0","14,200.0","14,500.0","14,200.0","25.40K","-0.35%"
"24/09/2024","14,450.0","14,450.0","14,550.0","14,300.0","47.80K","0.35%"
"23/09/2024","14,400.0","14,300.0","14,400.0","14,200.0","23.00K","0.00%"
"20/09/2024","14,400.0","14,700.0","14,700.0","14,400.0","27.00K","-1.37%"
"19/09/2024","14,600.0","14,200.0","14,700.0","14,200.0","7.40K","0.00%"
"18/09/2024","14,600.0","14,250.0","14,750.0","14,100.0","52.50K","0.00%"
"17/09/2024","14,600.0","14,250.0","14,600.0","14,250.0","6.60K","0.00%"
"16/09/2024","14,600.0","14,600.0","14,600.0","14,300.0","24.10K","1.39%"
"13/09/2024","14,400.0","14,500.0","14,800.0","14,400.0","41.00K","0.00%"
"12/09/2024","14,400.0","14,550.0","14,550.0","14,400.0","2.20K","-1.03%"
"11/09/2024","14,550.0","14,050.0","14,600.0","14,050.0","22.90K","-0.34%"
"10/09/2024","14,600.0","14,500.0","14,600.0","14,250.0","90.60K","0.34%"
"09/09/2024","14,550.0","14,400.0","14,550.0","14,400.0","32.50K","0.69%"
"06/09/2024","14,450.0","14,450.0","14,750.0","14,450.0","80.40K","0.00%"
"05/09/2024","14,450.0","14,350.0","14,500.0","14,100.0","42.50K","0.00%"
"04/09/2024","14,450.0","13,950.0","14,500.0","13,950.0","88.20K","3.58%"
"30/08/2024","13,950.0","13,950.0","14,400.0","13,950.0","86.60K","-0.36%"
"29/08/2024","14,000.0","13,800.0","14,000.0","13,800.0","5.10K","0.36%"
"28/08/2024","13,950.0","13,850.0","13,950.0","13,500.0","57.00K","2.20%"
"27/08/2024","13,650.0","13,400.0","13,900.0","13,400.0","4.40K","-1.09%"
"26/08/2024","13,800.0","13,900.0","13,900.0","13,400.0","9.00K","-0.36%"
"23/08/2024","13,850.0","13,550.0","14,400.0","13,500.0","29.20K","2.59%"
"22/08/2024","13,500.0","13,700.0","13,800.0","13,500.0","31.60K","-1.46%"
"21/08/2024","13,700.0","13,900.0","13,900.0","13,700.0","17.40K","-0.36%"
"20/08/2024","13,750.0","14,000.0","14,000.0","13,600.0","30.00K","-1.79%"
"19/08/2024","14,000.0","14,000.0","14,000.0","13,700.0","24.60K","0.00%"
"16/08/2024","14,000.0","13,800.0","14,000.0","13,500.0","16.60K","0.00%"
"15/08/2024","14,000.0","13,800.0","14,000.0","12,950.0","86.90K","1.45%"
"14/08/2024","13,800.0","13,850.0","14,000.0","13,800.0","10.70K","-0.72%"
"13/08/2024","13,900.0","13,700.0","13,900.0","13,500.0","8.20K","0.00%"
"12/08/2024","13,900.0","14,000.0","14,000.0","13,600.0","11.00K","0.00%"
"09/08/2024","13,900.0","13,800.0","13,900.0","13,500.0","7.40K","0.72%"
"08/08/2024","13,800.0","13,050.0","14,100.0","13,050.0","17.30K","2.22%"
"07/08/2024","13,500.0","13,900.0","13,900.0","13,500.0","13.80K","-3.23%"
"06/08/2024","13,950.0","13,800.0","13,950.0","13,150.0","65.00K","0.72%"
"05/08/2024","13,850.0","14,200.0","14,200.0","13,300.0","45.80K","-2.46%"
"02/08/2024","14,200.0","13,700.0","14,300.0","13,500.0","52.50K","2.90%"
"01/08/2024","13,800.0","14,300.0","14,300.0","13,600.0","92.70K","-3.50%"
"31/07/2024","14,300.0","14,150.0","14,600.0","14,100.0","120.90K","0.70%"
"30/07/2024","14,200.0","13,750.0","14,700.0","13,750.0","67.50K","3.27%"
"29/07/2024","13,750.0","13,150.0","13,750.0","12,950.0","22.30K","4.56%"
"26/07/2024","13,150.0","13,100.0","13,200.0","12,700.0","20.80K","-0.38%"
"25/07/2024","13,200.0","12,800.0","13,250.0","12,350.0","4.50K","0.38%"
"24/07/2024","13,150.0","12,000.0","13,200.0","11,900.0","17.20K","3.54%"
"23/07/2024","12,700.0","13,200.0","13,300.0","12,700.0","18.40K","-5.93%"
"22/07/2024","13,500.0","13,450.0","13,500.0","13,000.0","35.90K","0.00%"
"19/07/2024","13,500.0","13,350.0","13,700.0","13,150.0","101.40K","0.00%"
"18/07/2024","13,500.0","13,350.0","13,500.0","12,950.0","18.10K","0.00%"
"17/07/2024","13,500.0","13,150.0","13,500.0","13,100.0","30.30K","-1.46%"
"16/07/2024","13,700.0","13,700.0","13,700.0","12,750.0","174.20K","0.00%"
"15/07/2024","13,700.0","13,950.0","13,950.0","13,600.0","13.30K","-1.44%"
"12/07/2024","13,900.0","13,800.0","14,000.0","13,800.0","37.40K","-0.36%"
"11/07/2024","13,950.0","13,750.0","14,000.0","13,700.0","29.30K","1.82%"
"10/07/2024","13,700.0","13,650.0","13,950.0","13,650.0","27.50K","-0.36%"
"09/07/2024","13,750.0","13,650.0","14,000.0","13,600.0","119.40K","0.00%"
"08/07/2024","13,750.0","13,950.0","14,050.0","13,750.0","113.10K","-1.43%"
"05/07/2024","13,950.0","14,100.0","14,400.0","13,900.0","102.00K","-2.45%"
"04/07/2024","14,300.0","13,900.0","14,400.0","13,800.0","150.10K","3.25%"
"03/07/2024","13,850.0","14,150.0","14,300.0","13,700.0","182.30K","-2.12%"
"02/07/2024","14,150.0","14,250.0","14,300.0","14,150.0","90.20K","-0.70%"
"01/07/2024","14,250.0","14,000.0","14,300.0","13,850.0","74.00K","-3.39%"
"28/06/2024","14,750.0","15,000.0","15,000.0","14,100.0","147.60K","-0.34%"
"27/06/2024","14,800.0","14,600.0","15,000.0","14,550.0","98.10K","1.37%"
"26/06/2024","14,600.0","15,200.0","15,250.0","14,550.0","271.10K","-4.26%"
"25/06/2024","15,250.0","16,350.0","16,350.0","15,250.0","191.60K","-6.73%"
"24/06/2024","16,350.0","17,150.0","17,150.0","15,900.0","393.10K","1.87%"
"21/06/2024","16,050.0","15,500.0","16,050.0","15,500.0","467.20K","7.00%"
"20/06/2024","15,000.0","14,300.0","15,000.0","14,300.0","406.60K","6.76%"
"19/06/2024","14,050.0","14,200.0","14,500.0","14,050.0","68.70K","-1.40%"
"18/06/2024","14,250.0","14,300.0","14,300.0","13,900.0","59.60K","-0.35%"
"17/06/2024","14,300.0","14,950.0","15,200.0","14,100.0","78.30K","-1.72%"
"14/06/2024","14,550.0","14,000.0","15,000.0","13,900.0","163.30K","2.46%"
"13/06/2024","14,200.0","14,050.0","14,250.0","13,950.0","121.90K","0.00%"
"12/06/2024","14,200.0","14,000.0","14,200.0","13,700.0","83.40K","1.07%"
"11/06/2024","14,050.0","14,550.0","14,550.0","14,000.0","126.20K","-3.77%"
"10/06/2024","14,600.0","14,850.0","14,850.0","14,600.0","39.60K","-1.35%"
"07/06/2024","14,800.0","14,800.0","14,900.0","14,600.0","78.10K","0.00%"
"06/06/2024","14,800.0","14,800.0","15,350.0","14,450.0","276.40K","-0.34%"
"05/06/2024","14,850.0","14,450.0","15,100.0","14,450.0","152.90K","3.13%"
"04/06/2024","14,400.0","15,000.0","15,200.0","14,200.0","299.50K","-0.35%"
"03/06/2024","14,450.0","13,650.0","14,450.0","13,650.0","227.20K","6.64%"
"31/05/2024","13,550.0","12,700.0","13,550.0","12,700.0","147.50K","6.69%"
"30/05/2024","12,700.0","13,050.0","13,050.0","12,600.0","79.20K","-2.68%"
"29/05/2024","13,050.0","13,000.0","13,500.0","13,000.0","83.20K","0.38%"
"28/05/2024","13,000.0","13,100.0","13,100.0","12,900.0","53.30K","0.39%"
"27/05/2024","12,950.0","12,600.0","13,000.0","12,600.0","48.30K","0.00%"
"24/05/2024","12,950.0","13,450.0","13,450.0","12,750.0","68.10K","-3.72%"
"23/05/2024","13,450.0","13,250.0","13,500.0","13,200.0","59.90K","1.51%"
"22/05/2024","13,250.0","13,900.0","13,900.0","13,200.0","62.10K","-1.85%"
"21/05/2024","13,500.0","13,800.0","14,000.0","13,500.0","82.70K","-0.74%"
"20/05/2024","13,600.0","13,500.0","13,700.0","13,200.0","71.80K","0.00%"
"17/05/2024","13,600.0","13,400.0","13,700.0","13,400.0","89.10K","-0.37%"
"16/05/2024","13,650.0","14,500.0","14,500.0","13,650.0","93.40K","-4.55%"
"15/05/2024","14,300.0","14,600.0","14,600.0","14,100.0","226.90K","2.51%"
"14/05/2024","13,950.0","14,150.0","14,400.0","13,400.0","164.40K","-1.41%"
"13/05/2024","14,150.0","14,000.0","14,150.0","13,700.0","425.00K","6.79%"
"10/05/2024","13,250.0","12,400.0","13,250.0","12,400.0","207.70K","6.85%"
"09/05/2024","12,400.0","12,350.0","12,450.0","12,150.0","31.20K","-0.40%"
"08/05/2024","12,450.0","12,300.0","12,450.0","12,200.0","31.20K","-1.58%"
"07/05/2024","12,650.0","12,000.0","12,650.0","11,950.0","52.60K","5.42%"
"06/05/2024","12,000.0","11,800.0","12,200.0","11,800.0","14.70K","-0.41%"
"03/05/2024","12,050.0","12,100.0","12,200.0","12,000.0","14.50K","-0.41%"
"02/05/2024","12,100.0","12,300.0","12,300.0","12,000.0","14.70K","2.98%"
"26/04/2024","11,750.0","11,900.0","11,900.0","11,750.0","8.50K","-0.42%"
"25/04/2024","11,800.0","11,800.0","11,950.0","11,700.0","34.70K","0.00%"
"24/04/2024","11,800.0","11,700.0","12,000.0","11,700.0","11.50K","0.85%"
"23/04/2024","11,700.0","11,700.0","11,950.0","11,700.0","10.30K","-2.09%"
"22/04/2024","11,950.0","11,850.0","11,950.0","11,700.0","16.90K","0.84%"
"19/04/2024","11,850.0","11,850.0","11,850.0","11,600.0","58.50K","0.00%"
"17/04/2024","11,850.0","11,700.0","12,050.0","11,700.0","17.90K","-1.25%"
"16/04/2024","12,000.0","11,700.0","12,000.0","11,700.0","19.10K","0.00%"
"15/04/2024","12,000.0","12,100.0","12,250.0","11,850.0","43.60K","-2.44%"
"12/04/2024","12,300.0","12,150.0","12,400.0","12,050.0","32.20K","2.07%"
"11/04/2024","12,050.0","12,200.0","12,400.0","12,050.0","37.40K","-1.23%"
"10/04/2024","12,200.0","12,150.0","12,400.0","12,100.0","26.10K","0.83%"
"09/04/2024","12,100.0","12,400.0","12,400.0","12,100.0","7.80K","-2.42%"
"08/04/2024","12,400.0","12,400.0","12,400.0","12,000.0","45.50K","0.00%"
"05/04/2024","12,400.0","12,400.0","12,800.0","12,350.0","35.30K","0.00%"
"04/04/2024","12,400.0","12,450.0","12,450.0","12,200.0","76.70K","-0.40%"
"03/04/2024","12,450.0","12,500.0","12,650.0","12,350.0","205.10K","-1.19%"
"02/04/2024","12,600.0","12,800.0","12,850.0","12,350.0","42.90K","-1.95%"
"01/04/2024","12,850.0","12,350.0","13,150.0","12,350.0","105.70K","3.21%"
"29/03/2024","12,450.0","12,000.0","12,500.0","12,000.0","49.30K","2.89%"
"28/03/2024","12,100.0","12,250.0","12,400.0","12,000.0","44.60K","-1.22%"
"27/03/2024","12,250.0","12,450.0","12,500.0","12,200.0","11.20K","-2.00%"
"26/03/2024","12,500.0","12,000.0","12,500.0","12,000.0","67.90K","2.88%"
"25/03/2024","12,150.0","12,150.0","12,150.0","12,000.0","57.80K","0.00%"
"22/03/2024","12,150.0","12,300.0","12,300.0","11,950.0","22.70K","-1.62%"
"21/03/2024","12,350.0","11,800.0","12,400.0","11,800.0","49.70K","4.66%"
"20/03/2024","11,800.0","11,850.0","11,850.0","11,400.0","31.80K","-0.42%"
"19/03/2024","11,850.0","11,600.0","11,950.0","11,100.0","12.80K","0.85%"
"18/03/2024","11,750.0","12,100.0","12,500.0","11,600.0","37.10K","-2.89%"
"15/03/2024","12,100.0","12,400.0","12,450.0","12,050.0","90.80K","-0.82%"
"14/03/2024","12,200.0","11,900.0","12,500.0","11,900.0","58.60K","2.52%"
"13/03/2024","11,900.0","11,700.0","11,900.0","11,650.0","36.10K","0.42%"
"12/03/2024","11,850.0","11,800.0","11,850.0","11,700.0","26.30K","0.85%"
"11/03/2024","11,750.0","12,000.0","12,000.0","11,750.0","13.10K","-1.67%"
"08/03/2024","11,950.0","11,900.0","12,000.0","11,850.0","17.60K","0.00%"
"07/03/2024","11,950.0","11,800.0","12,000.0","11,800.0","9.60K","0.84%"
"06/03/2024","11,850.0","12,000.0","12,200.0","11,850.0","45.80K","-1.25%"
"05/03/2024","12,000.0","12,000.0","12,300.0","11,950.0","16.80K","-1.64%"
"04/03/2024","12,200.0","11,950.0","12,250.0","11,950.0","33.80K","2.52%"
"01/03/2024","11,900.0","12,000.0","12,250.0","11,900.0","12.20K","-0.42%"
"29/02/2024","11,950.0","12,000.0","12,050.0","11,950.0","10.80K","-0.83%"
"28/02/2024","12,050.0","12,000.0","12,100.0","12,000.0","5.90K","-1.23%"
"27/02/2024","12,200.0","11,900.0","12,200.0","11,900.0","20.20K","2.52%"
"26/02/2024","11,900.0","11,750.0","12,000.0","11,700.0","18.00K","-0.83%"
"23/02/2024","12,000.0","12,800.0","12,800.0","12,000.0","12.20K","-0.83%"
"22/02/2024","12,100.0","12,300.0","12,300.0","12,100.0","2.90K","-3.20%"
"21/02/2024","12,500.0","12,800.0","12,800.0","11,450.0","32.10K","2.04%"
"20/02/2024","12,250.0","12,400.0","12,500.0","12,100.0","10.20K","-1.21%"
"19/02/2024","12,400.0","12,600.0","12,600.0","12,200.0","27.80K","-1.59%"
"16/02/2024","12,600.0","12,700.0","12,800.0","12,300.0","1.40K","-0.79%"
"15/02/2024","12,700.0","12,300.0","12,950.0","12,300.0","11.30K","3.25%"
"07/02/2024","12,300.0","12,250.0","12,300.0","12,000.0","20.60K","0.41%"
"06/02/2024","12,250.0","12,400.0","12,700.0","12,250.0","8.00K","-3.54%"
"05/02/2024","12,700.0","12,800.0","13,300.0","12,200.0","10.00K","1.60%"
"02/02/2024","12,500.0","12,600.0","12,800.0","12,000.0","21.50K","-0.79%"
"01/02/2024","12,600.0","11,800.0","12,600.0","11,800.0","56.90K","6.78%"
"31/01/2024","11,800.0","11,400.0","11,950.0","11,400.0","62.20K","3.51%"
"30/01/2024","11,400.0","11,300.0","11,400.0","11,300.0","16.80K","-1.72%"
"29/01/2024","11,600.0","11,400.0","11,600.0","11,300.0","8.30K","1.75%"
"26/01/2024","11,400.0","11,850.0","11,850.0","11,400.0","3.10K","0.00%"
"25/01/2024","11,400.0","11,400.0","11,500.0","11,300.0","4.60K","-1.72%"
"24/01/2024","11,600.0","11,500.0","11,700.0","11,500.0","1.50K","2.20%"
"23/01/2024","11,350.0","11,400.0","11,500.0","11,300.0","11.50K","-1.30%"
"22/01/2024","11,500.0","11,500.0","11,500.0","11,400.0","16.40K","0.88%"
"19/01/2024","11,400.0","11,900.0","11,900.0","11,400.0","25.70K","-3.39%"
"18/01/2024","11,800.0","11,650.0","11,800.0","11,600.0","2.60K","1.29%"
"17/01/2024","11,650.0","11,550.0","11,650.0","11,400.0","34.00K","0.00%"
"16/01/2024","11,650.0","11,500.0","11,700.0","11,400.0","13.90K","0.00%"
"15/01/2024","11,650.0","11,850.0","11,850.0","11,600.0","7.40K","-1.69%"
